name,latitude,longitude,rating,no_of_reviews,delivery_options,promotion,post_code,suburb,road,delivery_cost_winsorized,sun,mon,tue,wed,thu,fri,sat,delivery_time_winsorized
texas chicken,1.2647917455551152,103.82210285559164,3.8,1591.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.7,1,1,1,1,1,1,1,43.0
subway,1.2647407805011284,103.82207197855752,4.2,197.0,3,1,098585,Bukit Merah,Telok Blangah Road,5.7,1,1,1,1,1,1,1,42.0
wingstop,1.263526797990238,103.8217115875525,4.4,1391.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,45.0
burger king,1.2637407934423948,103.82135428346544,4.1,389.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,41.0
egg stop,1.264835440027852,103.82178452887324,3.5,25.0,1,1,098585,Bukit Merah,Telok Blangah Road,4.09,1,1,1,1,1,1,1,39.0
shake shack,1.2636821011513175,103.82110697510365,4.5,661.0,1,1,098585,Bukit Merah,Harbourfront Avenue,7.5,1,1,1,1,1,1,1,35.0
wine connection,1.263685636341009,103.82173048104136,4.1,208.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,37.0
cedele,1.2635253410991965,103.82234476813164,4.1,74.0,1,1,098137,Bukit Merah,Sentosa Boardwalk,4.7,1,1,1,1,1,1,1,44.0
carl's jr.,1.2640364249148348,103.822801446811,4.2,860.0,3,0,098585,Bukit Merah,Harbourfront Avenue,4.7,1,1,1,1,1,1,1,41.0
hoshino coffee,1.2637521672704253,103.8221243093712,4.1,14.0,1,1,099253,Bukit Merah,Harbourfront Walk,5.5,1,1,1,1,1,1,1,45.0
brotzeit,1.264058177299077,103.82125428772171,4.4,51.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,43.0
pizzakaya,1.2635233,103.8216938,4.7,11.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.5,1,1,1,1,1,1,1,46.0
beef bro,1.2649540806259123,103.82144540502144,4.0,78.0,1,1,098867,Bukit Merah,Telok Blangah Road,5.7,1,1,1,1,1,1,1,43.0
dancing crab,1.2636804,103.82128395,4.3,21.0,1,0,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,39.0
the coffee bean & tea leaf,1.2649063812103662,103.82184847650764,4.4,120.0,1,1,098585,Bukit Merah,Telok Blangah Road,5.5,1,1,1,1,1,1,1,40.0
the soup spoon,1.264274165113477,103.82019676918742,4.4,199.0,3,1,099253,Bukit Merah,Harbourfront Walk,4.09,1,1,1,1,1,1,1,41.0
kfc,1.265112280845642,103.8200324,4.2,1654.0,3,1,099253,Bukit Merah,Maritime Square,7.5,1,1,1,1,1,1,1,41.0
pastamania,1.2641799649646828,103.82015703955562,4.3,213.0,1,1,099253,Bukit Merah,Maritime Square,5.6,1,1,1,1,1,1,1,41.0
simply wrapps,1.2647053,103.82012061764704,4.3,587.0,1,1,098633,Bukit Merah,Harbourfront Place,5.7,1,1,1,1,1,1,1,42.0
arbora garden and bistro,1.2713359,103.81932634232888,5.0,1.0,1,1,098915,Bukit Merah,Mount Faber Road,7.1,1,1,1,1,1,1,1,52.0
harry's,1.2650626,103.81995974444445,4.0,54.0,1,1,099253,Bukit Merah,Maritime Square,4.09,1,1,1,1,1,1,1,37.0
panamericana,1.243977587600785,103.82910886052908,4.7,3.0,1,1,099891,Southern Islands,Bukit Manis Road,6.0,1,1,1,1,1,1,1,70.0
prive keppel bay,1.2640233,103.81255120936562,4.4,128.0,1,1,098382,Bukit Merah,Keppel Bay Vista,7.7,1,1,1,1,1,1,1,45.0
char grill bar,1.277410313,103.8200689,3.9,25.0,1,1,090012,Bukit Merah,Telok Blangah Crescent,6.0,1,1,1,1,1,1,1,39.0
fuel plus,1.2696302,103.8148563,4.4,99.0,1,1,098721,Bukit Merah,Wishart Road,6.1,1,1,0,0,1,1,1,38.0
morettino italian cafe & bistro,1.274593605245832,103.84338012173752,3.2,32.0,1,1,079027,Downtown Core,Tras Street,4.9,1,1,1,1,1,1,1,40.0
kraftwich by swissbake,1.2649583333333332,103.8201095,4.4,7.0,1,0,098633,Bukit Merah,Harbourfront Place,5.7,1,1,1,1,1,1,1,35.0
sg eat food court,1.27467005,103.84342985,4.2,26.0,1,0,079027,Downtown Core,Tras Street,4.9,1,1,1,1,1,1,1,41.0
little part 1 cafe,1.2757997,103.83570738,4.6,18.0,1,0,169377,Bukit Merah,Blair Road,6.5,1,0,0,0,1,1,1,38.0
skirt,1.2464016333333334,103.8423954,4.0,37.0,1,0,098374,Southern Islands,Ocean Way,8.7,1,1,1,1,1,1,1,46.0
jed's,1.2755019328516006,103.84307866356464,5.0,0.0,1,0,082001,Outram,Tanjong Pagar Road,5.0,0,1,1,1,1,1,1,36.0
kith cafe,1.277023,103.8370148,4.4,189.0,1,1,169339,Bukit Merah,Spottiswoode Park Road,6.2,1,1,1,1,1,1,1,40.0
kream & kensho,1.2770163559800949,103.83634653404306,5.0,3.0,1,0,169356,Bukit Merah,Kampong Bahru Road,6.1,1,1,1,1,1,1,1,38.0
canadian pizza,1.2762709598548128,103.83552111017896,4.2,359.0,1,1,169377,Bukit Merah,Kampong Bahru Road,7.9,1,1,1,1,1,1,1,45.0
mariners' corner restaurant,1.276647946532806,103.84059001852746,5.0,5.0,1,0,089760,Bukit Merah,Cantonment Road,6.6,1,1,1,1,1,1,1,40.0
dimbulah grains,1.2736432,103.84465131918326,4.2,20.0,1,1,079911,Downtown Core,Anson Road,5.0,1,1,1,1,1,1,1,31.0
